Metric,Micro-avg,Macro-avg,Weighted-avg
Precision,0.9001426533523538,0.8599482194630702,0.8992315026627802
Recall,0.8725110619469026,0.8148220739677212,0.8725110619469026
F1-Score,0.8861115011936526,0.8306478676377853,0.8835943629813994
