Metric,Micro-avg,Macro-avg,Weighted-avg
Precision,0.3121422115094908,0.18153846592350212,0.3029440071279635
Recall,0.2994219653179191,0.1838404041691506,0.2994219653179191
F1-Score,0.30564980085558346,0.1809518556558414,0.29825417428260387
