Metric,Micro-avg,Macro-avg,Weighted-avg
Precision,0.8951612903225806,0.8414718977841144,0.8971470576782931
Recall,0.828816371681416,0.78398245351322,0.828816371681416
F1-Score,0.8607122343480759,0.7998801714421733,0.8572919244147436
